AGENCIA,MARCA,TERMINAL,IMEI,ESTADO,FECHA_REGISTRO,SOLICITADO_POR,ASIGNADO_EVENTO,FECHA_CAMBIO_ESTADO,OBSERVACIONES
AGENCIA CALLE TERCERA (AV. 2DA.),ALCATEL,ALCATEL MIFI - LINKZONE NEGRO,350426933968391,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),ALCATEL,ALCATEL MIFI - LINKZONE NEGRO,350426933968409,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),ALCATEL,ALCATEL MIFI - LINKZONE NEGRO,350426933968441,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SCDHXPWJHWK,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SCPXXFK73NX,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SD1P2H6X769,VENDIDO,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SD3321PQ030,SOLICITADO,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SD46L1FPCJY,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SDW3MQH260W,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SFLYWNXW9G5,SOLICITADO,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SFP0059M42Y,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
AGENCIA CALLE TERCERA (AV. 2DA.),APPLE,APPLE AIRPODS 4 CANCELACION DE RUIDO BLANCO,SFP3QTYWYK9,DISPONIBLE,2025-10-04 23:54:38,,,2025-10-04 23:54:38,
